,title,description
8,"EU Risks Energy Crisis As Soon As This Winter, Compounding Its Economic Problems",EU court ruling on Gazprom access to OPAL pipeline may be the final insult that will convince Russia to perform a permanent pivot East for its natural gas expor.
9,"After Iran's strike on Saudi oil, US, China and Russia must join forces to prevent drone terror attacks",
0,"TSX DAILY: Russia acknowledges Tokyo participation in jeopardy, but RUSADA held blameless; Coe re-elected IAAF chief and Banks elected to Council; Jack Hatton passes",
1,Constantia Flexibles buys majority stake in Russia's TT-print,
2,"Ex-Yukos Investors' $50B Awards Properly Nixed, Russia Says",
3,Manu Samoa lock brings Rugby World Cup peace with kiss against Russia,
4,China Is Scared of These 5 Killer Weapons from Russia,
5,"National Currencies Dominate Iran's Trade With Russia, Turkey",
6,Death Match: America's F-16s vs. China and Russia's Best Planes (Who Wins?),
7,Russia's Lavrov favours resumption of direct flights to Georgia,
8,Did Russia Just Practice Fighting a War Against NATO?,
9,"Chaos, smoke as Boeing 767 makes hard landing in Siberia, Russia leaving 56 injured (VIDEO)",
0,Nord Stream 2's future and the new era of US-Russia competition,
1,Don’t Help Russia Make It to the Moon,
2,The New Wave of Russia's Surreptitious Offensive in Eastern Europe,
3,Who Paid for the N.R.A.’s ‘Special Projects’ Trip to Russia?,
4,Step inside Russia's only navy base outside the former Soviet Union,
5,"Russia, the world’s fourth largest polluter, finally joins Paris Agreement",
6,Naval base in Syria cements Russia's Mediterranean foothold,
7,Naval base in Syria cements Russia's Mediterranean foothold,
8,Base in Syria helps Russia expand presence in Mediterranean,
9,Spectrum of the Seas becomes largest cruise ship to visit Russia,
0,Russia is ready to deliver S-400s to Iran if requested: report,
1,South Dakota business at center of Senate investigation regarding NRA and Russia,
2,Russia Making Further Inroads into Zimbabwe,
3,Russia Making Further Inroads into Zimbabwe,
4,"Russia in Review, Sept. 20-27, 2019",
5,Senate Report On NRA/Russia Connections Brands the Gun Group a ‘Foreign Asset’,
6,Senate Report On NRA/Russia Connections Brands the Gun Group a ‘Foreign Asset’,
7,Russia Lashes Out at U.S. as Visa Dispute at UN Fuels Tensions,
8,Senate report alleges NRA acted as 'foreign asset' for Russia ahead of 2016 election,
9,Russia's National AI Center Is Taking Shape,
0,The Army Wants the Shift Away from Russia and Focus on the Threat from China,
1,How Russia's Su-35 and Stealth Su-57 Went to War in Syria,
2,"In U.S.-Ukraine dealings, Russia is never far away",
3,Schumer: New Trump-Russia Report Among 'Most Disturbing Things We've Learned',
4,Rudy Giuliani cancels paid appearance at a pro-Russia conference,
5,Common Funding Themes Link ‘Whistleblower’ Complaint and CrowdStrike Firm Certifying DNC Russia ‘Hack’,
6,Bitcoin/USD: Head of Russia's biggest bank backs bitcoin,
7,Senate Democrats accuse the NRA of being a ‘foreign asset’ to Russia during 2016 elections,
8,Trump reportedly told Russia he didn’t care about 2016 election interference — and aides buried the meeting n…,
9,Bottas plagued by balance issues in Russia qualy,
0,Russia's Pivot To The East: A New Balance? – Analysis,
1,"No flag, no anthem, but world track gold for Russia",
2,International Space Station leak: Russia ‘knows what happened’ to ISS,
3,"No flag, no anthem, but world track gold for Russia",
4,"No flag, no anthem, but world track gold for Russia",
5,Russia rolls out red carpet for Huawei over 5G,
6,Russia protests: Thousands take to streets in Moscow demanding release of political prisoners,
7,Formula One: Ferrari meltdown gifts Mercedes one-two in Russia,
8,Trump isn’t loyal to Russia — or America. Only to himself.,
9,'Georgia is not Russia': World Rugby apologises for Russian song played after Georgia's victory,
